----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:09:06,839 : Train time 00h 01m 39s Batch 114 CEloss 1.2410407066345215
2020-05-04 13:09:07,686 : Train time 00h 01m 40s Batch 115 CEloss 1.3171038627624512
2020-05-04 13:09:08,610 : Train time 00h 01m 41s Batch 116 CEloss 1.2540665864944458
2020-05-04 13:09:09,409 : Train time 00h 01m 42s Batch 117 CEloss 1.1382755041122437
2020-05-04 13:09:10,281 : Train time 00h 01m 43s Batch 118 CEloss 1.3804216384887695
2020-05-04 13:09:11,104 : Train time 00h 01m 44s Batch 119 CEloss 1.2080599069595337
2020-05-04 13:09:11,933 : Train time 00h 01m 44s Batch 120 CEloss 1.0935859680175781
2020-05-04 13:09:12,837 : Train time 00h 01m 45s Batch 121 CEloss 1.088935136795044
2020-05-04 13:09:13,739 : Train time 00h 01m 46s Batch 122 CEloss 1.3089369535446167
2020-05-04 13:09:14,579 : Train time 00h 01m 47s Batch 123 CEloss 1.1125309467315674
2020-05-04 13:09:15,471 : Train time 00h 01m 48s Batch 124 CEloss 1.5320593118667603
2020-05-04 13:09:16,361 : Train time 00h 01m 49s Batch 125 CEloss 1.2460603713989258
2020-05-04 13:09:17,341 : Train time 00h 01m 50s Batch 126 CEloss 1.4470263719558716
2020-05-04 13:09:18,220 : Train time 00h 01m 51s Batch 127 CEloss 1.1123526096343994
2020-05-04 13:09:19,100 : Train time 00h 01m 52s Batch 128 CEloss 1.3164118528366089
2020-05-04 13:09:19,951 : Train time 00h 01m 52s Batch 129 CEloss 1.4616504907608032
2020-05-04 13:09:20,790 : Train time 00h 01m 53s Batch 130 CEloss 1.1313713788986206
2020-05-04 13:09:21,611 : Train time 00h 01m 54s Batch 131 CEloss 1.0061997175216675
2020-05-04 13:09:22,454 : Train time 00h 01m 55s Batch 132 CEloss 1.1252189874649048
2020-05-04 13:09:23,300 : Train time 00h 01m 56s Batch 133 CEloss 0.9714260697364807
2020-05-04 13:09:24,190 : Train time 00h 01m 57s Batch 134 CEloss 1.8057273626327515
2020-05-04 13:09:25,134 : Train time 00h 01m 58s Batch 135 CEloss 1.278383731842041
2020-05-04 13:09:25,992 : Train time 00h 01m 58s Batch 136 CEloss 1.0822457075119019
2020-05-04 13:09:26,802 : Train time 00h 01m 59s Batch 137 CEloss 1.0646851062774658
2020-05-04 13:09:27,614 : Train time 00h 02m 00s Batch 138 CEloss 1.079008936882019
2020-05-04 13:09:28,384 : Train time 00h 02m 01s Batch 139 CEloss 0.9639711976051331
2020-05-04 13:09:29,214 : Train time 00h 02m 02s Batch 140 CEloss 1.5928040742874146
2020-05-04 13:09:30,052 : Train time 00h 02m 03s Batch 141 CEloss 1.2156214714050293
2020-05-04 13:09:30,901 : Train time 00h 02m 03s Batch 142 CEloss 1.1553853750228882
2020-05-04 13:09:32,126 : Train time 00h 02m 05s Batch 143 CEloss 1.3281469345092773
2020-05-04 13:09:33,005 : Train time 00h 02m 05s Batch 144 CEloss 1.2589998245239258
2020-05-04 13:09:33,844 : Train time 00h 02m 06s Batch 145 CEloss 0.9269296526908875
2020-05-04 13:09:34,690 : Train time 00h 02m 07s Batch 146 CEloss 1.128309726715088
2020-05-04 13:09:35,611 : Train time 00h 02m 08s Batch 147 CEloss 1.04193115234375
2020-05-04 13:09:36,465 : Train time 00h 02m 09s Batch 148 CEloss 1.272373080253601
